scan_time_utc,ticker,price,market_score,event_score,alignment_bonus,final_score,confidence_label,event_bias,signal_count,days_since_latest_event,event_tags,market_reason,event_reason,merged_reason,market_cap,float_shares,rel_volume,news_score,short_interest_score,compression_score,breakout_score,trend_score,premarket_gap_score,repeat_count_30d,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,base_weighted_score,scan_date,dollar_volume,vol_expansion_score,social_score,insider_score,total_score,reason,scan_time_utc_x,event_intel_score_x,sec_insider_score_x,event_tags_x,event_intel_reason_x,anomaly_score_x,anomaly_label_x,anomaly_flags_x,baseline_sample_size_x,scan_time_utc_y,event_intel_score_y,sec_insider_score_y,anomaly_score_y,anomaly_label_y,anomaly_flags_y,baseline_sample_size_y,event_tags_y,event_intel_reason_y,event_intel_score,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size,event_intel_reason
2026-03-17T03:39:48Z,CLOV,1.97,,,,,,,,,"form4, insider, open_market_sale, parsed, sell, tax_withholding",,,,1033594560,408736802.0,1.62,1.0,1.0,0.0,0.0,0.0,0.0,2,,7.17,,,,,2026-03-16,16892734.49,3.0,0.0,0.0,7.75,"multi-day volume expansion, elevated news flow, short squeeze potential",,,,,,,,,,,,,,,,,,,2.87,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for clov"
2026-03-17T03:39:31Z,BRBR,18.68,,,,,,,,,"buy, form4, insider, open_market_buy, parsed, sell",,,,2212186624,108374630.0,1.55,3.0,0.0,0.0,1.0,1.0,0.0,2,,7.96,,,,,2026-03-16,93458115.01,0.56,0.0,0.0,7.33,elevated news flow,,,,,,,,,,,,,,,,,,,3.18,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 6 day(s) ago, insider accumulation detected for brbr"
2026-03-17T03:40:07Z,CMCO,14.5,,,,,,,,,"buy, form4, insider, open_market_sale, parsed, sell, tax_withholding, unparsed",,,,416720800,27761219.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,2,,7.3,,,,,2026-03-16,12464707.5,3.0,0.0,0.0,7.12,multi-day volume expansion,,,,,,,,,,,,,,,,,,,2.92,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 14 day(s) ago, insider selling detected for cmco"
2026-03-17T03:39:06Z,BGY,5.59,,,,,,,,,"buy, form4, insider, option_exercise, parsed, sell",,,,506534816,,1.64,0.0,0.0,1.0,0.0,0.0,0.0,2,,6.06,,,,,2026-03-16,2874713.48,2.84,0.0,0.0,6.78,multi-day volume expansion,,,,,,,,,,,,,,,,,,,2.42,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 42 day(s) ago, insider selling detected for bgy"
2026-03-17T03:40:32Z,GRPN,10.29,,,,,,,,,"administrative, form4, insider, option_exercise, parsed, sell, tax_withholding",,,,419366944,29022811.0,1.64,0.0,3.0,0.0,0.0,0.0,0.0,2,,8.96,,,,,2026-03-16,22815512.71,0.0,0.0,0.0,6.37,short squeeze potential,,,,,,,,,,,,,,,,,,,3.58,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 1 day(s) ago, insider selling detected for grpn"
2026-03-17T03:38:56Z,BBAR,12.87,,,,,,,,,,,,,2737519104,161363326.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,2,,0.0,,,,,2026-03-16,15039701.69,2.51,0.0,0.0,5.44,multi-day volume expansion,,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:39:38Z,BWLP,14.29,,,,,,,,,,,,,2169430784,80530964.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,2,,0.0,,,,,2026-03-16,8716171.19,1.22,0.0,0.0,4.47,mixed setup,,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:39:15Z,BLND,1.47,,,,,,,,,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",,,,381827968,219316192.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,7,,7.47,,,,,2026-03-16,8529591.38,0.0,0.0,0.0,3.88,mixed setup,,,,,,,,,,,,,,,,,,,2.99,0.0,Within Baseline,,4.0,"meaningful insider filing activity, latest event 19 day(s) ago, insider selling detected for blnd"
2026-03-17T19:08:09Z,AGRO,12.45,,,,,,,,,,,,,1761446528,19962240.0,3.56,3.0,0.0,0.0,0.0,3.0,1.0,3,,0.0,,,,,2026-03-17,46537156.57,2.02,1.0,0.0,15.39,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, gap strength, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,2.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T19:09:40Z,TRON,1.9,,,,,,,,,,,,,521325952,28802067.0,2.76,3.0,2.5,0.0,0.0,2.0,0.0,1,,0.0,,,,,2026-03-17,3142054.66,3.0,1.0,0.0,14.91,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,No Baseline,,0.0,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set"
2026-03-17T19:08:46Z,NFE,1.19,,,,,,,,,"buy, form4, insider, parsed",,,,338617856,128541041.0,6.64,1.5,2.5,0.0,0.0,1.0,0.0,1,,4.6,,,,,2026-03-17,70248389.21,3.0,1.0,0.0,14.6,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,1.84,0.0,No Baseline,,0.0,"recent insider filings, latest event 40 day(s) ago, insider accumulation detected for nfe"
