scan_date,ticker,price,market_cap,float_shares,rel_volume,dollar_volume,vol_expansion_score,compression_score,breakout_score,trend_score,news_score,short_interest_score,premarket_gap_score,social_score,insider_score,total_score,reason,repeat_count_30d,scan_time_utc,event_intel_score,sec_insider_score,event_tags,event_intel_reason,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size
2026-03-17,FINV,6.05,1573361664,603949278.0,2.21,13425133.51,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,13.56,"unusual volume, multi-day volume expansion, near breakout, trend improving, retail attention",3,2026-03-17T03:40:17Z,0.0,0.0,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,Baseline Building,,1.0
2026-03-17,TME,11.47,19309369344,1122936726.0,8.78,612439831.66,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,12.5,"unusual volume, multi-day volume expansion, elevated news flow, retail attention",1,,,,,,,,,
2026-03-17,MVST,1.62,533297120,199168684.0,6.42,34438005.88,3.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,12.0,"unusual volume, multi-day volume expansion, short squeeze potential, retail attention",2,,,,,,,,,
2026-03-17,ABSI,2.99,449595872,132323940.0,1.94,16155114.99,3.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,11.82,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,CTMX,5.47,926811584,123351351.0,1.78,83989702.54,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,11.63,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",4,2026-03-17T03:40:13Z,2.08,5.2,"buy, form4, insider, parsed","recent insider filings, latest event 41 day(s) ago, insider accumulation detected for ctmx",0.0,Baseline Building,,2.0
2026-03-17,PCT,5.38,970721920,141602584.0,1.9,52565102.75,2.35,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,11.01,"multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,OBE,8.53,576609856,60376354.0,1.56,8808631.94,0.26,1.0,1.0,3.0,3.0,1.5,0.0,0.5,0.0,10.94,"trend improving, elevated news flow, short squeeze potential",1,,,,,,,,,
2026-03-17,ALOY,13.6,776711936,53935198.0,1.82,32609088.11,1.85,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,10.9,"multi-day volume expansion, trend improving, elevated news flow, retail attention",8,2026-03-17T03:38:54Z,0.78,1.95,"form4, insider, unparsed","recent insider filings, latest event 12 day(s) ago, recent form 4 filing for aloy",0.0,Within Baseline,,4.0
2026-03-17,OCGN,2.55,834498624,322732914.0,1.51,36858093.4,0.0,0.0,1.0,3.0,0.5,2.5,1.0,1.0,0.0,9.41,"trend improving, short squeeze potential, gap strength, retail attention",1,,,,,,,,,
2026-03-17,VIA,14.3,1161000064,60173089.0,1.54,21953217.29,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,9.35,"multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,LAES,3.13,560406720,121649573.0,2.02,38548309.24,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,9.32,"unusual volume, multi-day volume expansion, elevated news flow, retail attention",2,,,,,,,,,
2026-03-17,SOFI,17.08,21800634368,1254528060.0,1.84,2153346491.13,3.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,8.31,"multi-day volume expansion, elevated news flow, retail attention",1,,,,,,,,,
2026-03-17,PEPG,5.09,351796864,36971152.0,1.85,6371438.23,2.87,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.96,"multi-day volume expansion, retail attention",1,,,,,,,,,
2026-03-17,IRWD,3.28,533396352,119176062.0,2.87,30112256.93,3.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,7.95,"unusual volume, multi-day volume expansion, retail attention",1,,,,,,,,,
2026-03-17,BBAR,13.22,2811965952,161363326.0,1.73,16381576.55,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.73,multi-day volume expansion,3,2026-03-17T03:38:56Z,0.0,0.0,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,Baseline Building,,1.0
2026-03-18,BCAR,10.11,416532000,25099864.0,2.9,4467780.72,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,16.78,"unusual volume, multi-day volume expansion, tight consolidation, near breakout, elevated news flow, retail attention",1,,,,,,,,,
2026-03-18,IAUX,1.45,1213947776,701107358.0,2.0,24004842.29,2.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.81,"multi-day volume expansion, retail attention",1,,,,,,,,,
